air_pollution	空氣
air_pollution	霾害
air_pollution	pm2.5
air_pollution	AQI
anthroponymy	姓名學
anthroponymy	姓張的人的運勢
astro	星座運勢
astro	射手座的運勢
bmi_search	bmi
brain_teaser	腦筋急轉彎
brain_teaser	猜謎
brain_teaser	謎語
bus	我要去台北車站
bus	紅9什麼時候到
bus	公車查詢
bus	路線
bus	怎麼從車站到車站
bus	忠孝幹線多久一班車
calculate	3加二等于多少
calculate	12*55=
calculate	23的平方等于多少
calculate	根號144
chinese_knowledge	國學常識
chinese_zodiac	民國80年生的人屬什麼
chinese_zodiac	1990生肖
chinese_zodiac	今年是什麼年
coin_flip	擲硬幣
coin_flip	丟硬幣
coin_flip	拋硬幣
daily_bibble	每日聖經
daily_bibble	聖經一句
daily_english	英文一句
daily_english	每日英文
daily_idiom	每日成語
daily_idiom	成語一句
daily_japanese	每日日語
daily_japanese	日文一句
diabetes	糖尿病
dioxin_search	戴奧辛
family_relationship	媽媽的爸爸要叫什麼
family_relationship	我要叫爸爸的姐姐什麼
fart	放個屁
food_energy	熱量
food_energy	蛋白質
food_energy	脂肪
food_energy	脂質
food_energy	碳水
gas	加油站
golla	夢到
guess_number	猜數字
guess_number	終極密碼
invoice	發票
joke	笑話
lottery	樂透
lottery	威力彩
lottery	六合彩
lottery	今彩539
lottery	大福彩
lottery	3星彩
lottery	三星彩
lottery	4星彩
lottery	四星彩
lottery	七樂彩
lottery	雙色球
lottery	雙贏彩
mental_arithmetic	心算挑戰
mingyan	名言
mingyan	佳句
multiplication_table	九九乘法表
news	新聞
nmhc_search	nmhc
oil	油價
paper_scissor_stone	猜拳
paper_scissor_stone	剪刀石頭布
poem	我想聽詩
poem	來首詩聽聽
poem	李白的詩
poem	唸首詩
poem	念詩
rainy_search	台北今天下了多少雨
rainy_search	高雄的雨量
rate_exchange	1000台幣可以換多少日元
rate_exchange	美金兌泰銖
rate_exchange	法朗跟英鎊的匯率
recipe	宮寶雞丁怎麼做
recipe	布丁的食譜
recycled_items	可以回收嗎
recycled_items	可不可以回收
report_time	時間
report_time	現在幾點
report_time	今天幾號
report_time	日期
seven_eleven_location	711門市
seven_eleven_location	711
seven_eleven_location	小七
solitaire	接龍
sound	的聲音
sound	的音效
stock	台積電的股價
stock	大立光的殖利率
stock	2317的收盤價
stock	開盤價
stock	本益比
stock	3037今天收多少
thsrc_search	明天從台北到台中的高鐵
thsrc_search	高鐵
thsrc_search	台灣有哪些高鐵站
thsrc_search	左營到台北的班次
translate	的英文
ultraviolet	紫外線
ultraviolet	uv
weather	今天天氣
weather	會不會下雨
weather	要不要帶傘
weather	太陽大嗎
weather	台北今天有下雨嗎
word_explanation	筆畫
word_explanation	筆劃
word_explanation	部首
word_explanation	注音
word_explanation	釋義
word_explanation	相似詞
word_explanation	相反詞
wuhan_ncov	武漢肺炎
wuhan_ncov	確診人數
wuhan_ncov	新型冠狀病毒
